ID,NodeType,weight,x,y,label
A0A1I9LSN5,,1,0,0,A0A1I9LSN5
A0A1I9LT75,,1,0,0,A0A1I9LT75
A0A1I9LTB9,,1,0,0,A0A1I9LTB9
A0A1I9LTT1,,1,0,0,A0A1I9LTT1
A0A1P8AMN4,,1,0,0,A0A1P8AMN4
A0A1P8AMQ8,,1,0,0,A0A1P8AMQ8
A0A1P8AN28,,1,0,0,A0A1P8AN28
A0A1P8AN89,,1,0,0,A0A1P8AN89
A0A1P8ANS8,,1,0,0,A0A1P8ANS8
A0A1P8AP20,,1,0,0,A0A1P8AP20
A0A1P8APK5,,1,0,0,A0A1P8APK5
A0A1P8APL7,,1,0,0,A0A1P8APL7
A0A1P8AQ87,,1,0,0,A0A1P8AQ87
A0A1P8AQ97,,1,0,0,A0A1P8AQ97
A0A1P8AQK1,,1,0,0,A0A1P8AQK1
A0A1P8AQS6,,1,0,0,A0A1P8AQS6
A0A1P8AQT5,,1,0,0,A0A1P8AQT5
A0A1P8AR38,,1,0,0,A0A1P8AR38
A0A1P8AR40,,1,0,0,A0A1P8AR40
A0A1P8AR77,,1,0,0,A0A1P8AR77
A0A1P8ARP7,,1,0,0,A0A1P8ARP7
A0A1P8AS11,,1,0,0,A0A1P8AS11
A0A1P8AS82,,1,0,0,A0A1P8AS82
A0A1P8ASB1,,1,0,0,A0A1P8ASB1
A0A1P8ASI5,,1,0,0,A0A1P8ASI5
A0A1P8ATA8,,1,0,0,A0A1P8ATA8
A0A1P8ATP2,,1,0,0,A0A1P8ATP2
A0A1P8ATQ1,,1,0,0,A0A1P8ATQ1
A0A1P8ATX8,,1,0,0,A0A1P8ATX8
A0A1P8AU14,,1,0,0,A0A1P8AU14
A0A1P8AUA6,,1,0,0,A0A1P8AUA6
A0A1P8AUP1,,1,0,0,A0A1P8AUP1
A0A1P8AUP3,,1,0,0,A0A1P8AUP3
A0A1P8AUV9,,1,0,0,A0A1P8AUV9
A0A1P8AV93,,1,0,0,A0A1P8AV93
A0A1P8AVS4,,1,0,0,A0A1P8AVS4
A0A1P8AVT1,,1,0,0,A0A1P8AVT1
A0A1P8AWD1,,1,0,0,A0A1P8AWD1
A0A1P8AWH1,,1,0,0,A0A1P8AWH1
A0A1P8AX35,,1,0,0,A0A1P8AX35
A0A1P8AXK3,,1,0,0,A0A1P8AXK3
A0A1P8AXQ6,,1,0,0,A0A1P8AXQ6
A0A1P8AXS6,,1,0,0,A0A1P8AXS6
A0A1P8AXS8,,1,0,0,A0A1P8AXS8
A0A1P8AY38,,1,0,0,A0A1P8AY38
A0A1P8AZU2,,1,0,0,A0A1P8AZU2
A0A1P8B058,,1,0,0,A0A1P8B058
A0A1P8B096,,1,0,0,A0A1P8B096
A0A1P8B0Q6,,1,0,0,A0A1P8B0Q6
A0A1P8B0V8,,1,0,0,A0A1P8B0V8
