fromNode,toNode,value,interaction_type,selfLoop,label,guid
Q3E8R5,Q94AL9,0.950687576077967,Very Strong,False,Q3E8R5 - Q94AL9,132
Q3E8R5,Q94JR6,0.983965566791526,Very Strong,False,Q3E8R5 - Q94JR6,133
Q3E8R5,Q9FIF1,0.950297181100714,Very Strong,False,Q3E8R5 - Q9FIF1,134
Q3E8R5,Q9LMZ9,0.968261953458002,Very Strong,False,Q3E8R5 - Q9LMZ9,135
Q3E8R5,Q9STG2,0.956451283747225,Very Strong,False,Q3E8R5 - Q9STG2,136
Q3E8R5,Q9SVU6,0.960405078849722,Very Strong,False,Q3E8R5 - Q9SVU6,137
Q3E8R5,O49644,0.960896516348548,Very Strong,False,O49644 - Q3E8R5,138
Q42059,Q9C5M8,0.952960405165024,Very Strong,False,Q42059 - Q9C5M8,139
P19036,Q9ZW31,0.990410672924218,Very Strong,False,P19036 - Q9ZW31,14
Q42059,Q9SJQ1,0.95579837616224,Very Strong,False,Q42059 - Q9SJQ1,140
Q42059,A0A384KTA5,0.952839902448203,Very Strong,False,A0A384KTA5 - Q42059,141
Q42059,O80622,0.979978148611408,Very Strong,False,O80622 - Q42059,142
Q42523,Q9SSN7,0.954349940708471,Very Strong,False,Q42523 - Q9SSN7,143
Q42523,A0JPZ8,0.950004244864085,Very Strong,False,A0JPZ8 - Q42523,144
Q42534,Q9FPD5,0.954637870745048,Very Strong,False,Q42534 - Q9FPD5,145
Q42534,Q9ZV04,0.972342713524038,Very Strong,False,Q42534 - Q9ZV04,146
Q42534,O80803,0.967875273018784,Very Strong,False,O80803 - Q42534,147
Q45GK4,A0A178VQQ1,0.955616318509243,Very Strong,False,A0A178VQQ1 - Q45GK4,148
Q4V3D6,Q9M217,0.970555274875107,Very Strong,False,Q4V3D6 - Q9M217,149
P19036,AT3G07365,0.984107610390317,Very Strong,False,AT3G07365 - P19036,15
Q501E6,Q8VWJ2,0.984099782003487,Very Strong,False,Q501E6 - Q8VWJ2,150
Q501E6,Q9FKG5,0.982021400719654,Very Strong,False,Q501E6 - Q9FKG5,151
Q501E6,Q9FKH6,0.951752225350943,Very Strong,False,Q501E6 - Q9FKH6,152
Q501E6,Q9FPH0,0.982583063813502,Very Strong,False,Q501E6 - Q9FPH0,153
Q501E6,Q9LDM5,0.959426200867702,Very Strong,False,Q501E6 - Q9LDM5,154
Q501F7,Q94AR8,0.982368480786385,Very Strong,False,Q501F7 - Q94AR8,155
Q501F7,Q96324,0.9811909308773,Very Strong,False,Q501F7 - Q96324,156
Q501F7,Q9FMT1,0.994553351553975,Very Strong,False,Q501F7 - Q9FMT1,157
Q501F7,Q9FN52,0.970875395682717,Very Strong,False,Q501F7 - Q9FN52,158
Q501F7,Q9LYT7,0.971698154217572,Very Strong,False,Q501F7 - Q9LYT7,159
P25071,Q501E6,0.957380374657631,Very Strong,False,P25071 - Q501E6,16
Q501F7,Q9M1G8,0.951052571214893,Very Strong,False,Q501F7 - Q9M1G8,160
Q501F7,Q9ZW84,0.972547066365507,Very Strong,False,Q501F7 - Q9ZW84,161
Q501F7,F4JPW1,0.981744676925981,Very Strong,False,F4JPW1 - Q501F7,162
Q56X35,Q9C9I5,0.964485585953498,Very Strong,False,Q56X35 - Q9C9I5,163
Q56X35,Q9FN15,0.954482103488107,Very Strong,False,Q56X35 - Q9FN15,164
Q5BPX3,P82266,0.950447250633333,Very Strong,False,P82266 - Q5BPX3,165
Q5BPX3,Q27IK6,0.9722040567325,Very Strong,False,Q27IK6 - Q5BPX3,166
Q5BPX3,Q27IK7,0.977451039716412,Very Strong,False,Q27IK7 - Q5BPX3,167
Q5BPX3,Q39070,0.971009321987927,Very Strong,False,Q39070 - Q5BPX3,168
Q5BPX3,Q8GXT1,0.97074160183053,Very Strong,False,Q5BPX3 - Q8GXT1,169
P25071,Q8LF65,0.986371266418981,Very Strong,False,P25071 - Q8LF65,17
Q5BPX3,Q8LDS3,0.956774925094293,Very Strong,False,Q5BPX3 - Q8LDS3,170
Q5BPX3,Q94FL9,0.976283664971467,Very Strong,False,Q5BPX3 - Q94FL9,171
Q5BPX3,Q9FJJ1,0.956905965906361,Very Strong,False,Q5BPX3 - Q9FJJ1,172
Q5BPX3,A0A1P8B7H9,0.96270534789414,Very Strong,False,A0A1P8B7H9 - Q5BPX3,173
Q5BPX3,Q9LK83,0.978603769893962,Very Strong,False,Q5BPX3 - Q9LK83,174
Q5BPX3,Q9SCT4,0.950494308164379,Very Strong,False,Q5BPX3 - Q9SCT4,175
Q5BPX3,Q9SU98,0.975017851388768,Very Strong,False,Q5BPX3 - Q9SU98,176
Q5BPX3,A0A178U979,0.975025160229202,Very Strong,False,A0A178U979 - Q5BPX3,177
Q5BPX3,F4IJK6,0.97706323299887,Very Strong,False,F4IJK6 - Q5BPX3,178
Q5BPX3,F4JDI6,0.982176183680659,Very Strong,False,F4JDI6 - Q5BPX3,179
P25071,Q8RUI1,0.985703052875672,Very Strong,False,P25071 - Q8RUI1,18
Q5BPX3,F4JGP4,0.981011763089169,Very Strong,False,F4JGP4 - Q5BPX3,180
Q5BPX3,F4JKA2,0.979207362501322,Very Strong,False,F4JKA2 - Q5BPX3,181
Q5BPX3,F4K0J3,0.973258494044037,Very Strong,False,F4K0J3 - Q5BPX3,182
Q5BPX3,F4K9T9,0.961644540229616,Very Strong,False,F4K9T9 - Q5BPX3,183
Q5BPX3,F4KEC6,0.965516834983568,Very Strong,False,F4KEC6 - Q5BPX3,184
Q5BPX3,O22806,0.95293706556277,Very Strong,False,O22806 - Q5BPX3,185
Q5BPX3,O48790,0.965806664736264,Very Strong,False,O48790 - Q5BPX3,186
Q5BPX3,O81804,0.967752683167011,Very Strong,False,O81804 - Q5BPX3,187
Q5XEP9,Q8S8K6,0.951332842293982,Very Strong,False,Q5XEP9 - Q8S8K6,188
Q5XEP9,A0A178V6B8,0.974353620935747,Very Strong,False,A0A178V6B8 - Q5XEP9,189
P25071,Q9FKH6,0.977058065719727,Very Strong,False,P25071 - Q9FKH6,19
Q5XVC7,F4IGZ2,0.963029069490834,Very Strong,False,F4IGZ2 - Q5XVC7,190
Q6EJ98,Q94BN0,0.967286335089273,Very Strong,False,Q6EJ98 - Q94BN0,191
Q6NLT2,Q8RUI1,0.950394582009528,Very Strong,False,Q6NLT2 - Q8RUI1,192
