ID,FC.avg,p.value,is.DEP,log2FC,FDR,C61,C62,C63,C64,C91,C92,C93,C94
AT5G10625,0.48158844765343,0.00486759865401032,True,-1.05412730975197,0.0170909679323326,179,151,177,160,356,458,285,286
Q9LEV6,1.80716029292107,0.00258690550595086,True,0.853724477174319,0.00940897626803488,639,582,438,562,340,355,299,235
Q9LEU7,1.67379182156134,0.00100244065313859,True,0.743120103349652,0.00377092903577453,488,422,396,495,217,299,287,273
AT5G11090,1.50639899623588,0.003587042363421,True,0.591103943749063,0.0128501929585456,1714,1473,1283,1533,814,1086,1008,1077
A0JJX5,2.75388601036269,0.000913706820246496,True,1.46146884426302,0.00344469884191081,294,261,192,316,95,116,84,91
AT5G11150,0.48828125,0.000690166481358556,True,-1.03421571533791,0.00261662985330385,128,127,138,107,273,297,248,206
AT5G12020,761.285714285714,0.000136754750937662,True,9.57229419570243,0.000529972998147967,1242,1153,1142,1792,3,2,1,1
AT5G12030,184.333333333333,0.000938169654615351,True,7.52617316951355,0.00353497951241957,888,758,362,757,3,5,4,3
AT5G12110,6.52482269503546,2.98028440659515E-05,True,2.70593869854558,0.000116153457329954,818,723,582,637,92,122,111,98
AT5G12230,0.650454302512026,0.00377096545574074,True,-0.620480390527056,0.0134696432907203,338,243,302,334,458,547,452,414
AT5G12270,0.216666666666667,0.00023453666412987,True,-2.20645087746743,0.000904004408416874,8,8,2,8,34,35,25,26
AT5G12280,0.156862745098039,7.21757496258135E-06,True,-2.6724253419715,2.81714004748191E-05,6,8,5,5,41,41,32,39
AT5G12890,1.65957446808511,0.00938586642197636,True,0.730813367184611,0.0313918933375395,95,112,76,107,41,71,65,58
AT5G13330,1.78082191780822,0.00467628254307328,True,0.832543254148437,0.0164749401018794,146,144,152,208,105,94,88,78
AT5G13490,2.12299465240642,0.00251635924540139,True,1.08610073725532,0.00916114126723434,526,411,516,532,337,229,248,121
AT5G13740,0.497801231310466,0.00478867624267276,True,-1.00635829606037,0.0168362878836792,285,191,347,309,657,658,422,537
AT5G13820,0.581380620645979,0.00479906195512236,True,-0.782445112446429,0.0168693403823128,274,194,182,268,358,481,382,358
AT5G13870,2.64499349804941,0.00327904620099151,True,1.40326417589567,0.0117998824638558,674,412,489,459,276,220,152,121
AT5G14120,0.374122807017544,0.00163155727638276,True,-1.41841617773381,0.00604459509120091,889,1077,1234,1918,2457,3879,3709,3635
AT5G14390,0.601552047096602,0.00670478153851994,True,-0.733238528159818,0.0230572342740912,613,504,517,614,777,1181,868,911
Q9LER3,2.95535714285714,0.00387698821426308,True,1.56333248474961,0.0138267274067952,67,100,61,103,27,25,42,18
AT5G15190,0.347607052896725,0.00392881337890594,True,-1.52447074036479,0.013996984921293,43,26,32,37,95,108,64,130
AT5G15330,0.460426179604262,0.00154009273260702,True,-1.11895822816037,0.00571748371487505,159,120,168,158,339,409,268,298
A0A1P8BHW0,0.581699346405229,0.00019763615399282,True,-0.781654411726254,0.000763750271610871,24,21,24,20,35,37,43,38
AT5G15840,0.240384615384615,0.0058567403885923,True,-2.05658352836637,0.0203162538416472,7,5,10,3,31,17,20,36
AT5G15845,0.289017341040462,0.00416411010356965,True,-1.790772037862,0.0147891303377738,31,15,26,28,101,115,56,74
Q9S7T9,3.58183856502242,0.0105858427949519,True,1.84070031591405,0.0350122739492849,1014,782,1023,376,183,169,191,349
AT5G15960,1.76948590381426,0.00266555139395175,True,0.82333026892434,0.00967961015999733,299,240,263,265,170,152,187,94
AT5G16110,0.496396044029726,0.0034917875841447,True,-1.01043647676284,0.0125246677353398,1979,1746,2369,2790,4415,5672,3684,4126
AT5G16120,0.58,0.00847995479383035,True,-0.785875194647153,0.0286444061072873,310,230,417,406,600,714,529,507
AT5G16180,0.597619047619048,0.0110622803059617,True,-0.742701963715351,0.0364368244417284,105,94,165,138,226,248,194,172
AT5G16410,0.495901639344262,0.000945079151390527,True,-1.01187410028829,0.00355983969711326,22,26,37,36,56,68,66,54
AT5G16453,0.142857142857143,0.00126929600663295,True,-2.8073549220576,0.00474352309983181,0,0,2,1,5,5,7,4
AT5G16570,0.428571428571429,0.0011891365635488,True,-1.22239242133645,0.00445221253855414,94,119,121,95,206,316,250,229
AT5G02575,0.48,0.00606881798329528,True,-1.05889368905357,0.0210115038140322,21,7,18,14,32,35,24,34
AT5G17000,2.20309050772627,0.00473108359412344,True,1.13952876529103,0.0166474669920774,547,577,322,550,196,256,263,191
