,FC.avg,log2FC,p.value,FDR,is.DEP,C61,C62,C63,C64,I561,I562,I563,I564
Q5PP62, 0.3678241,-1.442912, 0.038806, 0.8938293,TRUE,0,1.06114925647924E-07,1.05964587694438E-07,9.60108453850947E-08,2.70756363316051E-07,2.82128619051882E-07,1.8856231885643E-07,9.61550758293351E-08
P0CH01, 0.3155845,-1.6639016, 0.0330189, 0.8731223,TRUE,1.71381221245444E-06,8.48919405183396E-07,4.23858350777754E-07,7.68086763080758E-07,3.15882423868726E-06,1.03447160319024E-06,4.24265217426967E-06,3.46158272985606E-06
AT2G09815,0,-∞, 0.0241352, 0.8531767,TRUE,0,0,0,0,9.02521211053502E-08,9.40428730172941E-08,0,9.61550758293351E-08
AT2G09945, 9.4890315, 3.2462609, 0.0303712, 0.8586699,TRUE,1.90423579161605E-07,1.06114925647924E-07,4.23858350777754E-07,1.92021690770189E-07,0,0,0,9.61550758293351E-08
B3H4R4, ∞, ∞, 0.0244628, 0.841058,TRUE,9.52117895808025E-08,0,1.05964587694438E-07,9.60108453850947E-08,0,0,0,0
A0A1P8B386, ∞, ∞, 0.0244713, 0.8349644,TRUE,9.52117895808025E-08,1.06114925647924E-07,1.05964587694438E-07,0,0,0,0,0
O23077, 0.1536417,-2.7023579, 0.0282404, 0.8444572,TRUE,0,0,1.05964587694438E-07,9.60108453850947E-08,3.61008484421401E-07,1.88085746034588E-07,1.8856231885643E-07,5.76930454976011E-07
F4JH46, 4.3119656, 2.1083457, 0.0153012, 0.7831174,TRUE,2.85635368742407E-07,1.06114925647924E-07,2.11929175388877E-07,1.92021690770189E-07,9.02521211053502E-08,0,9.42811594282149E-08,0
A0A1P8B8B4, 0.3260442,-1.6168606, 0.0007022, 0.485642,TRUE,2.58023949763975E-05,3.63974194972381E-05,2.90342970282761E-05,3.3507785039398E-05,0.000108483049568631,9.52654303665189E-05,6.7976715947743E-05,0.000110866802431223
O81301, 2.5244489, 1.3359685, 0.0018082, 0.5080213,TRUE,3.8084715832321E-07,4.24459702591698E-07,3.17893763083315E-07,2.88032536155284E-07,1.805042422107E-07,1.88085746034588E-07,9.42811594282149E-08,9.61550758293351E-08
A0A178V3G1, 6.2864963, 2.6522562, 0.0153656, 0.7819637,TRUE,1.90423579161605E-07,1.06114925647924E-07,2.11929175388877E-07,9.60108453850947E-08,0,0,0,9.61550758293351E-08
AT4G04223, 2.4346122, 1.283692, 0.0402295, 0.894534,TRUE,8.56906106227222E-07,7.42804479535471E-07,1.05964587694438E-06,1.44016268077642E-06,6.31764847737452E-07,0,2.82843478284645E-07,7.69240606634681E-07
Q9M0Z9, 0.3499887,-1.5146198, 0.0009931, 0.4320104,TRUE,4.76058947904012E-07,6.36689553887547E-07,5.29822938472192E-07,1.24814099000623E-06,1.71479030100165E-06,2.25702895241506E-06,1.97990434799251E-06,2.30772181990404E-06
Q8GWF4, 0.4960696,-1.0113854, 0.0160628, 0.7891549,TRUE,8.37863748311062E-06,1.94190313935702E-05,2.17227404773599E-05,1.05611929923604E-05,2.56316023939195E-05,2.37928468733754E-05,3.59211217421499E-05,3.57696882085127E-05
Q9S9T4,0,-∞, 0, 0.0000048,TRUE,0,0,0,0,9.02521211053502E-08,9.40428730172941E-08,9.42811594282149E-08,9.61550758293351E-08
A0A178UXQ0, 3.0829233, 1.624299, 0.0049309, 0.6456119,TRUE,2.57071831868167E-06,4.56294180286075E-06,2.54315010466652E-06,3.93644466078888E-06,9.02521211053502E-07,1.31660022224212E-06,7.5424927542572E-07,1.44232613744003E-06
Q9M0S8, ∞, ∞, 0.0013726, 0.4627753,TRUE,4.76058947904012E-07,3.18344776943773E-07,3.17893763083315E-07,1.92021690770189E-07,0,0,0,0
Q84TI7, 2.3996034, 1.262796, 0.0026575, 0.5513767,TRUE,7.89305735624853E-05,6.41995300169943E-05,8.2652378401662E-05,6.5863439934175E-05,3.70033696531936E-05,4.71154793816643E-05,2.33817275381973E-05,1.40386410710829E-05
Q38838, 2.0344065, 1.024608, 0.0078009, 0.6944061,TRUE,7.23609600814099E-06,5.1996313567483E-06,5.72208773549967E-06,6.04868325926097E-06,4.33210181305681E-06,3.85575779370906E-06,1.97990434799251E-06,1.73079136492803E-06
AT4G05945, 0.1128502,-3.1475192, 0.047217, 0.9148971,TRUE,9.52117895808025E-08,0,0,0,2.70756363316051E-07,9.40428730172941E-08,9.42811594282149E-08,3.84620303317341E-07
Q9STH4, 0.2599604,-1.9436361, 0.0123444, 0.7671747,TRUE,1.90423579161605E-07,1.06114925647924E-07,0,1.92021690770189E-07,2.70756363316051E-07,6.58300111121059E-07,5.6568695656929E-07,3.84620303317341E-07
A0A178V1C5_1, 699.0269651, 9.4492043, 0.0000289, 0.1112588,TRUE,0.000114730206444867,0.000108873913714771,7.52348572630513E-05,9.63948887666351E-05,9.02521211053502E-08,0,2.82843478284645E-07,1.9231015165867E-07
Q9SU32, 4.7414606, 2.2453316, 0.0020503, 0.5368886,TRUE,2.85635368742407E-07,2.12229851295849E-07,2.11929175388877E-07,1.92021690770189E-07,0,9.40428730172941E-08,0,9.61550758293351E-08
Q9S7I2, 2.4919473, 1.3172736, 0.0101433, 0.7414249,TRUE,0.000258880855870202,0.000269531911145728,0.000133833274258076,0.000183380714685531,0.000115342210772638,6.15980818263276E-05,7.26907739191537E-05,8.97126857487697E-05
Q8LCC1, 0.1272237,-2.9745609, 0.0138658, 0.7890073,TRUE,0,1.06114925647924E-07,0,9.60108453850947E-08,3.61008484421401E-07,6.58300111121059E-07,3.7712463771286E-07,1.9231015165867E-07
A0A178UZY4, ∞, ∞, 0.0244032, 0.8449346,TRUE,0,1.06114925647924E-07,1.05964587694438E-07,9.60108453850947E-08,0,0,0,0
Q9T0K2, 2.3086627, 1.2070574, 0.0204917, 0.8286379,TRUE,1.26631680142467E-05,7.21581494405886E-06,1.52589006279991E-05,1.83380714685531E-05,4.60285817637286E-06,7.14725834931435E-06,6.3168376816904E-06,5.09621901895476E-06
P48421, 2.1658595, 1.1149396, 0.0148365, 0.7861881,TRUE,0.000249454888701703,0.000222098539381106,0.000147502706070658,0.000158129862349251,9.06131295897716E-05,0.000131471936478177,9.58839391384946E-05,4.08659072274674E-05
O23369, 2.0188068, 1.0135029, 0.0013283, 0.4652685,TRUE,5.71270737484815E-07,8.48919405183396E-07,7.41752113861069E-07,8.64097608465852E-07,3.61008484421401E-07,3.76171492069176E-07,3.7712463771286E-07,3.84620303317341E-07
