ID,NodeType,weight,x,y,color,label
AT3G08245,4,1,-2.67583966255188,8.90974712371826,#FF4500,AT3G08245
AT3G08410,2,1,-3.30415201187134,5.7417950630188,#00008B,AT3G08410
AT3G08975,2,1,-3.32560443878174,6.48125219345093,#00008B,AT3G08975
AT3G09855,2,1,-3.5980212688446,6.84380292892456,#00008B,AT3G09855
AT3G14475,2,1,-2.81303071975708,7.05048704147339,#00008B,AT3G14475
AT3G27884,5,1,-2.09829211235046,6.63576793670654,#FFD700,AT3G27884
AT3G29644,4,1,-3.3763542175293,8.26447486877441,#FF4500,AT3G29644
AT4G04223,4,1,-2.34699535369873,7.50986242294312,#FF4500,AT4G04223
AT4G05945,5,1,-2.44489598274231,5.82538032531738,#FFD700,AT4G05945
AT4G09785,4,1,-2.78602290153503,8.36962985992432,#FF4500,AT4G09785
AT4G15258,4,1,-3.00473356246948,7.62785005569458,#FF4500,AT4G15258
AT4G16355,4,1,-2.28374528884888,8.64332675933838,#FF4500,AT4G16355
AT4G37225,3,1,-1.48847544193268,7.00819873809814,#B03060,AT4G37225
AT5G02225,1,1,-1.5082014799118,8.99294853210449,#006400,AT5G02225
AT5G05235,5,1,-2.53785443305969,6.68561840057373,#FFD700,AT5G05235
AT5G06475,5,1,-1.2892644405365,6.02406454086304,#FFD700,AT5G06475
AT5G07725,4,1,-2.29211282730103,7.79280614852905,#FF4500,AT5G07725
AT5G23155,1,1,-1.45370316505432,7.995924949646,#006400,AT5G23155
B3H4R4,1,1,-1.74073481559753,8.74899482727051,#006400,B3H4R4
B3H5Q1,2,1,-2.60876774787903,6.38238000869751,#00008B,B3H5Q1
B3H617,4,1,-2.61700391769409,8.59177398681641,#FF4500,B3H617
B6ETT4,5,1,-2.17045140266418,7.1105751991272,#FFD700,B6ETT4
C0LGP2,3,1,-1.51702773571014,7.751633644104,#B03060,C0LGP2
F4HPH2,5,1,-2.38138294219971,5.76412534713745,#FFD700,F4HPH2
F4HPY8,2,1,-3.25899934768677,5.89354467391968,#00008B,F4HPY8
F4HQ05,2,1,-2.75788950920105,5.96555089950562,#00008B,F4HQ05
F4HV37,1,1,-1.83219492435455,9.08395099639893,#006400,F4HV37
F4HYV4,1,1,-1.46576166152954,9.02718257904053,#006400,F4HYV4
F4I177,3,1,-0.934870779514313,7.33285284042358,#B03060,F4I177
F4I1A6,3,1,-1.3054370880127,7.45007801055908,#B03060,F4I1A6
F4I5D5,1,1,-1.88039290904999,8.57102489471436,#006400,F4I5D5
F4IBG8,3,1,-0.718310058116913,6.58813095092773,#B03060,F4IBG8
F4IFN6,5,1,-2.280921459198,6.38951349258423,#FFD700,F4IFN6
F4JBE2,1,1,-1.98137986660004,8.3872652053833,#006400,F4JBE2
F4JH46,4,1,-3.05428862571716,8.86970996856689,#FF4500,F4JH46
F4JMQ0,2,1,-3.25130724906921,6.59226322174072,#00008B,F4JMQ0
F4JSU0,4,1,-2.23991727828979,8.39030742645264,#FF4500,F4JSU0
F4JTF6,5,1,-1.73623561859131,6.07120370864868,#FFD700,F4JTF6
F4JU69,3,1,-0.709551870822906,8.05409336090088,#B03060,F4JU69
F4JXD2,3,1,-0.389764487743378,7.76500940322876,#B03060,F4JXD2
F4JYT5,5,1,-2.32427525520325,6.66607284545898,#FFD700,F4JYT5
F4JZB9,5,1,-1.66891586780548,5.94406032562256,#FFD700,F4JZB9
F4JZS0,2,1,-3.2145562171936,6.32751893997192,#00008B,F4JZS0
F4K2L4,1,1,-1.10352349281311,8.90571594238281,#006400,F4K2L4
F4KFK3,5,1,-2.21149158477783,6.84755992889404,#FFD700,F4KFK3
F4KG50,5,1,-2.47054243087769,6.13788175582886,#FFD700,F4KG50
F4KIX1,2,1,-3.22698640823364,6.59487390518188,#00008B,F4KIX1
O04089,1,1,-1.54870963096619,8.72284412384033,#006400,O04089
O22778,1,1,-1.91364479064941,8.76239109039307,#006400,O22778
O23077,5,1,-2.39078307151794,6.41334867477417,#FFD700,O23077
O23180,4,1,-3.29857063293457,7.4903769493103,#FF4500,O23180
O23369,4,1,-3.27786445617676,8.60611629486084,#FF4500,O23369
O23401,4,1,-2.57861518859863,7.23559617996216,#FF4500,O23401
O48843,3,1,-1.35685217380524,6.79234075546265,#B03060,O48843
O49519,3,1,-2.01732134819031,7.42515087127686,#B03060,O49519
O49722,4,1,-3.71358156204224,7.58636093139648,#FF4500,O49722
O64492,3,1,-1.64215397834778,7.45148420333862,#B03060,O64492
O64627,1,1,-1.71604716777802,8.41251277923584,#006400,O64627
O64820,5,1,-2.43424582481384,7.19059038162231,#FFD700,O64820
O64857,4,1,-2.6975417137146,8.96826839447021,#FF4500,O64857
O65457,1,1,-1.89838600158691,9.16497898101807,#006400,O65457
O81025,4,1,-3.55855321884155,8.17610740661621,#FF4500,O81025
O81301,4,1,-2.11870265007019,7.67941761016846,#FF4500,O81301
O81346,3,1,-1.51722240447998,7.00730848312378,#B03060,O81346
O81755,1,1,-1.17825496196747,8.16902351379395,#006400,O81755
O81815,2,1,-3.06097888946533,7.1948938369751,#00008B,O81815
O81913,5,1,-1.91643404960632,6.97234392166138,#FFD700,O81913
O82225,5,1,-2.02188348770142,7.13554334640503,#FFD700,O82225
P0C042,2,1,-3.52447819709778,6.11153697967529,#00008B,P0C042
P0C5K5,2,1,-3.49157047271729,7.35569715499878,#00008B,P0C5K5
P0CH01,5,1,-2.08511805534363,6.74831008911133,#FFD700,P0CH01
P48007,4,1,-2.19489765167236,7.86203241348267,#FF4500,P48007
P48421,4,1,-2.54305052757263,7.68480682373047,#FF4500,P48421
P82794,1,1,-1.78136873245239,7.98209476470947,#006400,P82794
P92532_1,2,1,-3.20772695541382,7.2657675743103,#00008B,P92532_1
P92995,5,1,-1.99921977519989,6.90272426605225,#FFD700,P92995
P93277,1,1,-1.48935222625732,8.52822780609131,#006400,P93277
P93292,2,1,-3.03160572052002,7.01279258728027,#00008B,P93292
Q0IGM7,2,1,-2.89868354797363,5.56577730178833,#00008B,Q0IGM7
Q0PGJ6,5,1,-2.13971996307373,6.61899518966675,#FFD700,Q0PGJ6
Q0WSK8,4,1,-3.09227561950684,7.84686660766602,#FF4500,Q0WSK8
Q1G324,3,1,-1.70369064807892,7.68421792984009,#B03060,Q1G324
Q1G3I2,1,1,-1.45609021186829,8.13232612609863,#006400,Q1G3I2
Q1G3X9,1,1,-2.13244199752808,8.35771369934082,#006400,Q1G3X9
Q1PEV9,5,1,-2.55656814575195,6.78364133834839,#FFD700,Q1PEV9
Q2V2Q8,1,1,-0.850477635860443,8.48468589782715,#006400,Q2V2Q8
Q38838,3,1,-1.13658344745636,7.02041339874268,#B03060,Q38838
Q39034,4,1,-2.65558528900146,9.15575981140137,#FF4500,Q39034
Q39112,4,1,-2.80597066879272,7.48005199432373,#FF4500,Q39112
Q3E6X9,2,1,-2.89584064483643,5.89971923828125,#00008B,Q3E6X9
Q3E7K4,2,1,-3.21366858482361,6.31193590164185,#00008B,Q3E7K4
Q3E7S2,5,1,-2.2386212348938,6.3078088760376,#FFD700,Q3E7S2
Q3E8R5,1,1,-1.03641545772552,8.79695320129395,#006400,Q3E8R5
Q3EB64,4,1,-2.57412338256836,7.51481866836548,#FF4500,Q3EB64
Q3EBD7,1,1,-0.512242078781128,8.60062599182129,#006400,Q3EBD7
Q3EBW2,5,1,-1.59486925601959,5.85324764251709,#FFD700,Q3EBW2
Q3ECH2,1,1,-2.13128757476807,8.99356842041016,#006400,Q3ECH2
