	class	0.5_0	0.7_0	1_0	0.2_0	0.1_0	0.07_0	0.05_0	0.02_0	0.01_0	0.005_0	0.007_0	0.001_0	0.002_0	Pfam_desc	cor
PF06153	+	0.228	0.275	0.236	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF970)	0.506
PF03703	+	0.000	0.000	0.000	0.017	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial PH domain	0.492
PF12401	+	0.210	0.240	0.000	0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2662)	0.465
PF10704	+	0.000	0.000	0.000	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2508)	0.448
PF04417	+	0.000	0.351	0.022	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF501)	0.440
PF09754	+	0.399	0.000	0.574	0.292	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PAC2 family	0.440
PF12029	+	0.162	0.169	0.189	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF3516)	0.440
PF13307	+	0.000	0.000	0.163	0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Helicase C-terminal domain	0.371
PF06738	+	0.000	0.000	0.000	0.023	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1212)	0.356
PF07561	+	0.000	0.071	0.000	0.098	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of Unknown Function (DUF1540)	0.341
PF12685	+	0.015	0.098	0.016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	SpoIIIAH-like protein	0.321
PF08769	+	0.206	0.000	0.295	0.025	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Sporulation initiation factor Spo0A C terminal	0.310
PF09551	+	0.000	0.127	0.101	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Stage II sporulation protein R (spore_II_R)	0.310
PF09581	+	0.099	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Stage III sporulation protein AF (Spore_III_AF)	0.300
PF12652	+	0.000	0.000	0.119	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	CotJB protein	0.289
PF09548	+	0.000	0.165	0.073	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Stage III sporulation protein AB (spore_III_AB)	0.289
PF03951	+	0.141	0.117	0.087	0.039	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glutamine synthetase, beta-Grasp domain	0.250
PF01544	+	0.000	0.027	0.050	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	CorA-like Mg2+ transporter protein	0.215
PF13636	+	0.137	0.000	0.000	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	pre-rRNA processing and ribosome biogenesis	0.127
PF03837	-	-0.004	-0.082	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	RecT family	0.075
PF09954	-	0.000	0.000	-0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterized protein conserved in bacteria (DUF2188)	0.068
PF02872	-	-0.059	-0.049	-0.066	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5'-nucleotidase, C-terminal domain	0.060
PF03932	-	0.000	0.000	0.000	-0.022	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	CutC family	0.042
PF13274	-	-0.083	-0.039	-0.070	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF4065)	-0.003
PF04471	-	0.000	0.000	-0.017	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Restriction endonuclease	-0.059
PF10117	-	0.000	-0.045	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	McrBC 5-methylcytosine restriction system component	-0.081
PF09992	-	0.000	-0.062	-0.049	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Predicted periplasmic protein (DUF2233)	-0.104
PF13424	-	0.000	0.000	-0.053	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Tetratricopeptide repeat	-0.127
PF01051	-	0.000	0.000	-0.027	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Initiator Replication protein	-0.134
PF11738	-	0.000	0.000	0.000	-0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3298)	-0.185
PF01293	-	-0.026	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phosphoenolpyruvate carboxykinase	-0.218
PF06414	-	0.000	-0.008	-0.037	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Zeta toxin	-0.220
PF13336	-	0.000	0.000	0.000	-0.033	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Acetyl-CoA hydrolase/transferase C-terminal domain	-0.234
PF00023	-	0.000	0.000	-0.069	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ankyrin repeat	-0.278
PF02091	-	0.000	0.000	0.000	-0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycyl-tRNA synthetase alpha subunit	-0.301
PF03616	-	0.000	0.000	-0.027	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Sodium/glutamate symporter	-0.305
PF12399	-	0.000	-0.056	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Branched-chain amino acid ATP-binding cassette transporter	-0.307
PF05973	-	-0.038	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phage derived protein Gp49-like (DUF891)	-0.336
PF14532	-	-0.077	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Sigma-54 interaction domain	-0.525
PF00873	-	0.000	-0.145	-0.167	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	AcrB/AcrD/AcrF family	-0.683
PF01618	-	0.000	0.000	-0.082	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	MotA/TolQ/ExbB proton channel family	-0.750
PF03544	+	0.000	0.000	0.047	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Gram-negative bacterial TonB protein C-terminal	-0.831
