	class	0.5_0	0.7_0	1_0	0.05_0	0.07_0	0.1_0	0.2_0	0.02_0	0.01_0	0.007_0	0.001_0	0.002_0	0.005_0	Pfam_desc	cor
PF03594	+	0.000	0.000	0.000	0.013	0.002	0.009	0.025	0.000	0.000	0.000	0.000	0.000	0.000	Benzoate membrane transport protein	0.703
PF02233	+	0.000	0.000	0.129	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NAD(P) transhydrogenase beta subunit	0.671
PF08212	+	0.000	0.000	0.000	0.023	0.030	0.021	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Lipocalin-like domain	0.671
PF00959	+	0.019	0.015	0.025	0.000	0.012	0.016	0.015	0.000	0.000	0.000	0.000	0.000	0.000	Phage lysozyme	0.669
PF08298	+	0.000	0.000	0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PrkA AAA domain	0.626
PF04325	+	0.006	0.000	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF465)	0.608
PF13332	+	0.090	0.104	0.109	0.000	0.032	0.036	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Haemagluttinin repeat	0.559
PF12915	+	0.322	0.340	0.370	0.000	0.115	0.181	0.273	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3833)	0.479
PF09413	+	0.077	0.083	0.082	0.000	0.000	0.000	0.030	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF2007)	0.463
PF06035	+	0.162	0.176	0.197	0.000	0.000	0.084	0.148	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial transglutaminase-like cysteine proteinase BTLCP	0.455
PF04172	+	0.020	0.010	0.000	0.000	0.000	0.000	0.025	0.000	0.000	0.000	0.000	0.000	0.000	LrgB-like family	0.404
PF11391	+	0.088	0.072	0.057	0.000	0.000	0.035	0.083	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2798)	0.332
PF13362	+	0.032	0.049	0.065	0.000	0.000	0.000	0.010	0.000	0.000	0.000	0.000	0.000	0.000	Toprim domain	0.331
PF04244	-	-0.046	-0.101	-0.150	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Deoxyribodipyrimidine photo-lyase-related protein	0.329
PF02706	+	0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Chain length determinant protein	0.318
PF09955	+	0.001	0.011	0.019	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Predicted integral membrane protein (DUF2189)	0.314
PF00374	-	0.000	-0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Nickel-dependent hydrogenase	0.305
PF01750	-	0.000	0.000	-0.045	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Hydrogenase maturation protease	0.305
PF11171	+	0.042	0.048	0.050	0.000	0.000	0.000	0.011	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2958)	0.301
PF02230	-	-0.026	-0.034	-0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phospholipase/Carboxylesterase	0.299
PF01455	-	-0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	HupF/HypC family	0.296
PF12679	+	0.008	0.021	0.036	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	ABC-2 family transporter protein	0.267
PF14518	-	-0.039	-0.079	-0.106	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Iron-containing redox enzyme	0.249
PF04397	+	0.048	0.032	0.023	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	LytTr DNA-binding domain	0.227
PF14502	-	-0.016	-0.022	-0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Helix-turn-helix domain	0.218
PF02583	+	0.164	0.183	0.188	0.000	0.014	0.041	0.081	0.000	0.000	0.000	0.000	0.000	0.000	Metal-sensitive transcriptional repressor	0.204
PF00685	-	0.000	-0.004	-0.022	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Sulfotransferase domain	0.114
PF03681	-	-0.038	-0.065	-0.080	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterised protein family (UPF0150)	0.106
PF09445	-	-0.014	-0.022	-0.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	RNA cap guanine-N2 methyltransferase	0.081
PF13606	-	-0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ankyrin repeat	0.058
PF05378	-	-0.018	-0.016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Hydantoinase/oxoprolinase N-terminal region	0.039
PF00150	-	-0.127	-0.151	-0.188	0.000	0.000	0.000	-0.042	0.000	0.000	0.000	0.000	0.000	0.000	Cellulase (glycosyl hydrolase family 5)	0.033
PF02449	-	-0.022	-0.026	-0.039	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Beta-galactosidase	0.023
PF05014	+	0.105	0.132	0.155	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Nucleoside 2-deoxyribosyltransferase	-0.012
PF02677	-	-0.018	-0.013	-0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterized BCR, COG1636	-0.037
PF13751	-	-0.061	-0.046	-0.040	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Transposase DDE domain	-0.052
PF01420	-	0.000	-0.007	-0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Type I restriction modification DNA specificity domain	-0.089
PF12705	-	0.000	0.000	-0.009	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PD-(D/E)XK nuclease superfamily	-0.108
PF02517	-	-0.035	-0.036	-0.031	0.000	0.000	0.000	-0.005	0.000	0.000	0.000	0.000	0.000	0.000	CAAX protease self-immunity	-0.148
PF04326	-	0.000	0.000	-0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Divergent AAA domain	-0.188
PF02436	-	0.000	0.000	-0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Conserved carboxylase domain	-0.205
PF00071	-	0.000	-0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ras family	-0.216
PF13395	-	0.000	-0.014	-0.032	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	HNH endonuclease	-0.228
PF02502	-	0.000	0.000	-0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ribose/Galactose Isomerase	-0.253
PF09587	-	-0.090	-0.092	-0.076	0.000	0.000	0.000	-0.032	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial capsule synthesis protein PGA_cap	-0.259
PF13173	-	-0.013	-0.024	-0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	AAA domain	-0.446
